# rank, thread, Name, start Time, end Time, delta, bytes, Depth
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007025910211e+09, 1.68693007025910306e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007025909996e+09, 1.68693007025910401e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007025909805e+09, 1.68693007025910592e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007047125697e+09, 1.68693007047125793e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007047125506e+09, 1.68693007047126007e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007047125411e+09, 1.68693007047126102e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007065940189e+09, 1.68693007065940309e+09, 1.19209289550781250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007065939999e+09, 1.68693007065940499e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007065939808e+09, 1.68693007065940595e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007087240005e+09, 1.68693007087240100e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007087239790e+09, 1.68693007087240291e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007087239695e+09, 1.68693007087240410e+09, 7.15255737304687500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007106091499e+09, 1.68693007106091690e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007106091309e+09, 1.68693007106091809e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007106091189e+09, 1.68693007106092000e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007125632405e+09, 1.68693007125632596e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007125632310e+09, 1.68693007125632691e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007125632095e+09, 1.68693007125632906e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007144575191e+09, 1.68693007144575405e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007144575000e+09, 1.68693007144575500e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007144574904e+09, 1.68693007144575596e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007164165211e+09, 1.68693007164165401e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007164165092e+09, 1.68693007164165592e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007164164901e+09, 1.68693007164165711e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007183169103e+09, 1.68693007183169198e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007183168888e+09, 1.68693007183169293e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007183168793e+09, 1.68693007183169508e+09, 7.15255737304687500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007202824712e+09, 1.68693007202824903e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007202824593e+09, 1.68693007202825093e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007202824402e+09, 1.68693007202825189e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007219920492e+09, 1.68693007219920707e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007219920301e+09, 1.68693007219920802e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007219920111e+09, 1.68693007219920897e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007239339995e+09, 1.68693007239340210e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007239339900e+09, 1.68693007239340401e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007239339709e+09, 1.68693007239340496e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007258160901e+09, 1.68693007258160996e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007258160710e+09, 1.68693007258161211e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007258160496e+09, 1.68693007258161306e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007277641010e+09, 1.68693007277641201e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007277640796e+09, 1.68693007277641296e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007277640605e+09, 1.68693007277641392e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007296520591e+09, 1.68693007296520805e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007296520400e+09, 1.68693007296520901e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007296520209e+09, 1.68693007296521091e+09, 8.82148742675781250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007316062403e+09, 1.68693007316062498e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007316062188e+09, 1.68693007316062593e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007316061997e+09, 1.68693007316062808e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007334997892e+09, 1.68693007334998012e+09, 1.19209289550781250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007334997702e+09, 1.68693007334998202e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007334997511e+09, 1.68693007334998298e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007354595900e+09, 1.68693007354595995e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007354595709e+09, 1.68693007354596210e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007354595494e+09, 1.68693007354596305e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007371785307e+09, 1.68693007371785498e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007371785212e+09, 1.68693007371785688e+09, 4.76837158203125000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007371784997e+09, 1.68693007371785808e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007391438293e+09, 1.68693007391438508e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007391438103e+09, 1.68693007391438603e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007391438007e+09, 1.68693007391438794e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007408548093e+09, 1.68693007408548307e+09, 2.14576721191406250e-06, -1, 2
