# rank, time, memory kiB
13, 1.69170692065599799e+09, 16788000
13, 1.69170694065617108e+09, 16788000
13, 1.69170696065624595e+09, 16788000
13, 1.69170698065637708e+09, 16788000
13, 1.69170700065648603e+09, 16788016
13, 1.69170702065661407e+09, 16788016
14, 1.69170686065543890e+09, 16461820
14, 1.69170688065572500e+09, 16856048
14, 1.69170690065582395e+09, 16856048
14, 1.69170692065593410e+09, 16856048
14, 1.69170694065605807e+09, 16856048
14, 1.69170696065616608e+09, 16856048
14, 1.69170698065627599e+09, 16856048
14, 1.69170700065639091e+09, 16856064
14, 1.69170702065649390e+09, 16856064
15, 1.69170686065554309e+09, 16471228
15, 1.69170688065585089e+09, 16787328
15, 1.69170690065604496e+09, 16787328
15, 1.69170692065620708e+09, 16787328
15, 1.69170694065639997e+09, 16787328
15, 1.69170696065651488e+09, 16787328
15, 1.69170698065670109e+09, 16787328
15, 1.69170700065687799e+09, 16787344
15, 1.69170702065696001e+09, 16787344
16, 1.69170686065558910e+09, 16506576
16, 1.69170688065595007e+09, 16822648
16, 1.69170690065611005e+09, 16822656
16, 1.69170692065628409e+09, 16822656
16, 1.69170694065644407e+09, 16822656
16, 1.69170696065660596e+09, 16822656
16, 1.69170698065679407e+09, 16822656
16, 1.69170700065695906e+09, 16822672
16, 1.69170702065712309e+09, 16822672
17, 1.69170686065564895e+09, 16467448
17, 1.69170688065596890e+09, 16861644
17, 1.69170690065613294e+09, 16861652
17, 1.69170692065633106e+09, 16861652
17, 1.69170694065650511e+09, 16861652
17, 1.69170696065668106e+09, 16861652
17, 1.69170698065686202e+09, 16861652
17, 1.69170700065704298e+09, 16861668
17, 1.69170702065722895e+09, 16861668
18, 1.69170686065551090e+09, 16468548
18, 1.69170688065585494e+09, 16784632
18, 1.69170690065601993e+09, 16784640
18, 1.69170692065619802e+09, 16784640
18, 1.69170694065636897e+09, 16784640
18, 1.69170696065653896e+09, 16784640
18, 1.69170698065671706e+09, 16784640
18, 1.69170700065687490e+09, 16784656
18, 1.69170702065704703e+09, 16784656
19, 1.69170686065544295e+09, 16467224
19, 1.69170688065579605e+09, 16783300
19, 1.69170690065596008e+09, 16783308
19, 1.69170692065614605e+09, 16783308
19, 1.69170694065631509e+09, 16783308
19, 1.69170696065649891e+09, 16783308
19, 1.69170698065667391e+09, 16783308
19, 1.69170700065685105e+09, 16783324
19, 1.69170702065703106e+09, 16783324
20, 1.69170686065559793e+09, 16509664
20, 1.69170688065596795e+09, 16825748
20, 1.69170690065618801e+09, 16825748
20, 1.69170692065639210e+09, 16825748
20, 1.69170694065661597e+09, 16825748
20, 1.69170696065685511e+09, 16825748
20, 1.69170698065709090e+09, 16825748
20, 1.69170700065730000e+09, 16825764
20, 1.69170702065752912e+09, 16825764
21, 1.69170686065554905e+09, 16468468
21, 1.69170688065591311e+09, 16862688
21, 1.69170690065608191e+09, 16862688
21, 1.69170692065624690e+09, 16862692
21, 1.69170694065643692e+09, 16862692
21, 1.69170696065661407e+09, 16862692
21, 1.69170698065679789e+09, 16862692
21, 1.69170700065696597e+09, 16862708
21, 1.69170702065714312e+09, 16862708
22, 1.69170686065544605e+09, 16463088
22, 1.69170688065578794e+09, 16857296
22, 1.69170690065594912e+09, 16857296
22, 1.69170692065610194e+09, 16857296
22, 1.69170694065626407e+09, 16857296
22, 1.69170696065643501e+09, 16857296
22, 1.69170698065659499e+09, 16857296
22, 1.69170700065676594e+09, 16857312
22, 1.69170702065692592e+09, 16857312
23, 1.69170686065550590e+09, 16465440
23, 1.69170688065582299e+09, 16859664
23, 1.69170690065600300e+09, 16859672
23, 1.69170692065621591e+09, 16859672
23, 1.69170694065641308e+09, 16859672
23, 1.69170696065660501e+09, 16859672
23, 1.69170698065679097e+09, 16859672
23, 1.69170700065699196e+09, 16859688
23, 1.69170702065720510e+09, 16859688
24, 1.69170686065546298e+09, 16435044
24, 1.69170688065575790e+09, 16829284
24, 1.69170690065594196e+09, 16829292
24, 1.69170692065613103e+09, 16829292
24, 1.69170694065628791e+09, 16829292
24, 1.69170696065643406e+09, 16829292
24, 1.69170698065656900e+09, 16829292
24, 1.69170700065673304e+09, 16829308
24, 1.69170702065689993e+09, 16829308
25, 1.69170686065541005e+09, 16467348
25, 1.69170688065575504e+09, 16783432
25, 1.69170690065592599e+09, 16783444
25, 1.69170692065612197e+09, 16783444
25, 1.69170694065630198e+09, 16783444
